Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Door_Pockets,Engine_Malfunction_Light,Fuel-lid_Opener,Fuel_Gauge,Multifunction_Display,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags,USB_Compatibility,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Selling_Price
24,45,548,521,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,5,3,5.0,4,4,6,9,3,25,0,1,1,1,1,0,2,1,1,0,2.0,0,0,2,17.98
24,45,549,557,127,3.0,4.0,2,1,2,1,0,28,0,108,13,5,5.0,210,1,33,2,0,93,38,0,0,277,323,1,0,5,3,5.0,4,4,6,9,3,25,1,1,1,1,1,0,2,1,0,0,2.0,0,0,2,18.26
13,208,493,525,1,4.0,4.0,2,1,2,1,0,7,5,108,17,5,4.0,171,1,33,2,0,84,138,0,1,308,341,0,0,0,3,5.0,4,4,6,7,9,60,0,1,0,1,1,8,2,1,1,1,1.0,0,0,2,12.87
13,208,646,597,1,4.0,4.0,2,1,2,1,0,7,5,108,17,5,4.0,171,1,33,2,0,84,138,0,0,308,341,0,0,0,3,5.0,4,0,6,7,11,60,1,1,0,1,1,8,2,1,1,1,1.0,0,0,2,12.81
13,208,647,634,1,4.0,4.0,2,1,2,1,0,7,0,108,17,5,4.0,210,1,33,2,0,84,138,0,0,275,341,1,2,0,3,5.0,4,0,6,7,11,60,1,1,0,1,1,2,2,1,1,1,1.0,0,0,2,12.47
13,208,644,621,1,4.0,4.0,2,1,2,1,0,7,5,108,17,5,4.0,171,1,33,1,0,96,36,0,0,308,0,0,0,0,3,5.0,0,4,1,7,0,60,1,1,0,1,1,0,2,1,1,1,1.0,1,0,2,13.24
13,208,788,602,1,4.0,4.0,2,1,2,1,0,7,5,108,17,5,4.0,171,1,33,1,0,84,36,0,0,308,0,0,0,0,3,5.0,4,0,4,7,5,60,1,1,1,1,1,2,2,1,1,1,1.0,1,0,2,12.61
13,208,789,661,1,4.0,4.0,2,1,2,1,0,28,0,108,17,5,4.0,210,1,33,1,0,104,36,0,0,275,324,0,0,0,3,5.0,4,4,1,7,0,60,1,1,0,1,1,0,4,1,1,1,1.0,1,0,2,12.9
13,208,784,656,1,4.0,4.0,2,1,2,1,0,7,5,108,17,5,4.0,171,1,33,1,0,95,36,0,0,308,0,0,0,0,3,5.0,0,4,1,7,0,60,1,1,0,1,1,0,2,1,1,1,1.0,1,0,2,13.24
13,208,388,644,1,4.0,4.0,2,1,2,1,0,7,5,108,17,5,4.0,171,1,33,2,0,84,138,0,0,308,341,0,0,0,3,5.0,4,0,4,7,7,60,1,1,0,1,1,0,2,1,1,1,2.0,1,0,2,12.82
35,217,701,540,11,3.0,4.0,2,1,0,1,0,7,5,94,22,5,5.0,210,1,33,2,0,78,125,0,0,350,18,1,0,0,2,5.0,4,4,6,4,2,60,0,1,3,1,1,8,0,1,1,1,2.0,0,0,2,17.95
35,217,704,608,11,3.0,4.0,2,1,0,1,0,7,5,94,18,5,5.0,210,1,35,2,0,78,125,0,0,350,18,1,0,0,2,5.0,4,4,1,4,9,27,1,1,1,1,1,2,0,1,1,1,2.0,1,0,2,16.63
